iter	Passed	Remaining
0	2	2689
1	4	2243
2	6	2096
3	7	1959
4	9	1899
5	11	1845
6	12	1806
7	15	1969
8	17	1926
9	19	1889
10	21	1889
11	23	1960
12	25	1951
13	27	1941
14	31	2092
15	35	2154
16	36	2122
17	38	2092
18	39	2061
19	41	2033
20	42	2002
21	46	2083
22	48	2061
23	50	2035
24	51	2012
25	53	1991
26	54	1969
27	56	1951
28	57	1935
29	62	2020
30	64	2011
31	66	1998
32	67	1983
33	69	1968
34	70	1953
35	72	1940
36	76	2000
37	78	1986
38	80	1973
39	81	1958
40	83	1946
41	84	1932
42	86	1923
43	90	1973
44	92	1965
45	94	1960
46	96	1954
47	98	1948
48	100	1944
49	102	1947
50	106	1981
51	109	1987
52	111	1990
53	113	1983
54	115	1979
55	117	1974
56	119	1972
57	121	1972
58	123	1963
59	124	1954
60	126	1944
61	127	1933
62	129	1923
63	130	1914
64	132	1905
65	135	1918
66	137	1911
67	139	1905
68	140	1896
69	142	1888
70	143	1879
71	145	1871
72	146	1863
73	148	1856
74	151	1864
75	152	1860
76	154	1852
77	156	1849
78	162	1896
79	169	1945
80	173	1966
81	178	1997
82	182	2019
83	184	2014
84	186	2006
85	187	1997
86	189	1989
87	191	1981
88	192	1972
89	194	1965
90	198	1979
91	200	1975
92	201	1969
93	203	1962
94	205	1954
95	206	1947
96	208	1940
97	211	1948
98	213	1939
99	214	1933
100	216	1926
101	218	1919
102	219	1912
103	221	1906
104	222	1899
105	224	1893
106	227	1899
107	229	1893
108	230	1886
109	232	1879
110	233	1873
111	235	1867
112	236	1860
113	239	1857
114	242	1863
115	243	1857
116	245	1851
117	246	1845
118	248	1839
119	249	1832
120	251	1827
121	253	1824
122	257	1832
123	259	1830
124	260	1825
125	262	1819
126	263	1814
127	265	1808
128	267	1805
129	269	1801
130	272	1807
131	274	1803
132	276	1800
133	277	1795
134	279	1789
135	281	1788
136	283	1783
137	284	1780
138	287	1779
139	289	1777
140	291	1775
141	294	1776
142	295	1769
143	297	1768
144	299	1765
145	302	1767
146	303	1762
147	305	1759
148	307	1755
149	309	1752
150	310	1747
